Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Included / International,Price / International,Compare At Price / International,Status
cameryn-sash-tie-dress,,,,,,,,,Large,,,,,"",300.0,shopify,48,continue,manual,545.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,500.00,,,,,
muscle-tank,Muscle Tank,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,T Shirts,"cross, Female, T Shirts",true,Size,Medium,,,,,"",200.0,shopify,23,continue,manual,75.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/muscle-tank.webp?v=1695138541,1,,false,,,,,,,,,,,,,,,kg,,70.00,true,true,,,active
muscle-tank,,,,,,,,,Large,,,,,"",200.0,shopify,45,continue,manual,75.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,70.00,,,,,
imperial-alpaca-hoodie,Imperial Alpaca Hoodie,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Jackets,"features, Female, Jackets",true,Size,Medium,,,,,"",400.0,shopify,100,continue,manual,375.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/imperial-alpaca-hoodie.webp?v=1695138332,1,,false,,,,,,,,,,,,,,,kg,,200.00,true,true,,,active
flex-sweatshirt,Flex Sweatshirt,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Sweater,"cross, Female, Sweater",true,Size,Large,Color,Black,,,"",300.0,shopify,45,continue,manual,910.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/flex-sweatshirt.webp?v=1695138066,1,,false,,,,,,,,,,,,,,,kg,,800.00,true,true,,,active
flex-sweatshirt,,,,,,,,,Large,,Blue,,,"",300.0,shopify,75,continue,manual,925.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,800.00,,,,,
loose-control,Loose Control,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,T Shirts,"cross, Kids, T Shirts",true,Size,Extra Small,,,,,"",100.0,shopify,100,continue,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/loose-control.webp?v=1695137453,1,,false,,,,,,,,,,,,,,,kg,,89.00,true,true,,,active
loose-control,,,,,,,,,Small,,,,,"",100.0,shopify,101,continue,manual,100.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,89.00,,,,,
loose-control,,,,,,,,,Medium,,,,,"",100.0,shopify,25,continue,manual,100.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,89.00,,,,,
loose-control,,,,,,,,,Large,,,,,"",100.0,shopify,75,continue,manual,100.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,89.00,,,,,
raglan-sweatshirt,Raglan Sweatshirt,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Sweater,"features, Male, Sweater",true,Size,Small,,,,,"",500.0,shopify,10,continue,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/raglan-sweatshirt.webp?v=1695137127,1,,false,,,,,,,,,,,,,,,kg,,175.00,true,true,,,active
raglan-sweatshirt,,,,,,,,,Medium,,,,,"",500.0,shopify,19,continue,manual,275.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,175.00,,,,,
raglan-sweatshirt,,,,,,,,,Large,,,,,"",500.0,shopify,45,continue,manual,195.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,175.00,,,,,
brushed-bomber,Brushed Bomber,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Jackets,"cross, Female, Jackets",true,Size,Medium,,,,,"",500.0,shopify,100,continue,manual,725.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/brushed-bomber.webp?v=1695136424,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
flex-push-button-bomber,Flex Push Button Bomber,"<span style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"" data-mce-fragment=""1"" data-mce-style=""color: #1f2124; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</span>",Dine Market Vercel,Apparel & Accessories > Clothing,Jackets,"features, Jackets, Male",true,Size,Small,Color,Black,,,"",0.0,shopify,100,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0832/4782/5205/files/flex-push-button-bomber.webp?v=1695136006,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
flex-push-button-bomber,,,,,,,,,Small,,White,,,"",0.0,shopify,25,continue,manual,215.00,215.00,true,true,"",,,,,,,,,,,,,,,,,,,kg,,150.00,,,,,
flex-push-button-bomber,,,,,,,,,Medium,,Black,,,"",0.0,shopify,11,deny,manual,190.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
flex-push-button-bomber,,,,,,,,,Medium,,White,,,"",0.0,shopify,25,continue,manual,200.00,215.00,true,true,"",,,,,,,,,,,,,,,,,,,kg,,150.00,,,,,
flex-push-button-bomber,,,,,,,,,Large,,Black,,,"",0.0,shopify,15,deny,manual,110.00,,true,true,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,
flex-push-button-bomber,,,,,,,,,Large,,White,,,"",0.0,shopify,17,continue,manual,195.00,215.00,true,true,"",,,,,,,,,,,,,,,,,,,kg,,150.00,,,,,
